Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_ILS,Spend_NZD,Spend_TWD,Spend_AUD
AR172666893709082624,Madde Gangadhar,,IN,IN-General,3,0,0,1250,25,100,0,0,7500,100,75,0,0,0,0,0,0
AR172725442703261696,QUIGLEY FOR CONGRESS,FEC ID C00457556,US,US-Federal,13,7300,6600,538500,12950,49900,173000,49500,2257500,29000,31950,71250,5850,26000,12000,222000,11550
AR172802889553543168,COLORADO WORKING FAMILIES PARTY INDEPENDENT EXPENDITURE COMMITTEE,EIN ID 82-5092073,US,US-Federal,2,300,300,25750,600,2300,8000,2000,105000,1300,1425,3000,250,1250,600,9000,450
AR173004512498286592,Directe-68,,"ES, EU",EU-Parliament,1,100,50,4500,100,400,1000,500,15000,200,225,750,50,250,0,3000,150
AR173415454969167872,SAVE OUR SCHOOLS ARIZONA,EIN ID 35-2617978,US,US-Federal,2,600,450,40500,925,3500,13000,3500,172500,2100,2250,4500,400,1750,800,15000,750
AR173485342677008384,MARI MANOOGIAN FRIENDS OF,EIN ID 82-2499390,US,US-Federal,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR173695830434250752,WASHINGTON CO DEM COM,Registered in Pennsylvania 2009362,US,US-Federal,8,0,50,3000,75,300,1000,500,15000,200,150,0,50,250,0,0,0
AR173764618630463488,RAINMAKER INC,EIN ID 27-0683604,US,US-Federal,3,1600,1400,117500,2750,10500,36000,10500,457500,6100,6600,14250,1250,6000,2400,51000,2250
AR173784134961856512,WHITE COAT WASTE PAC,FEC ID C00632760,US,US-Federal,6,200,200,14750,350,1300,5000,1500,60000,800,825,2250,150,750,400,6000,300
AR173851342610104320,RICKMAN FOR SUPERVISOR 2020,EIN ID 84-2322435,US,US-Federal,3,600,500,43500,1000,3900,14000,4000,180000,2300,2475,5250,450,2000,1000,18000,900
AR174093029009784832,"PATAGONIA, INC.",EIN ID 95-3526345,US,US-Federal,7,22900,19450,1679000,38025,147100,527000,144500,7027500,87700,94725,202500,17700,78000,34400,660000,31950
AR174216930226339840,DAN CRENSHAW FOR CONGRESS,FEC ID C00660795,US,US-Federal,174,38300,32750,2832750,64075,247700,886000,244000,11857500,148900,159375,340500,29550,130500,57800,1107000,54150
AR174224214490873856,"IMM, LLC",EIN ID 61-1709313,US,US-Federal,352,5800,5050,423250,9850,37400,129000,37500,1627500,21700,23400,52500,4450,21000,8800,180000,8100
AR174228475098431488,COMMONWEALTH COMMUNICATIONS,EIN ID 84-4535961,US,US-Federal,7,134900,118000,10021250,230775,892000,3200000,879000,42397500,534200,573375,1251000,106200,469000,210200,3960000,195900
AR174243799541743616,AMERICA NEXT INC,FEC ID C90015439,US,US-Federal,2,6800,5750,509500,11275,43100,151000,43000,1995000,25400,27900,59250,5200,23250,10200,201000,9450
AR17476599884546048,LINEHAN FOR LEGISLATURE,EIN ID 81-1049959,US,US-Federal,6,2900,2500,215000,4900,18900,68000,18500,900000,11200,12150,26250,2250,10000,4400,84000,4050
AR174779880179761152,Social Democrats,,"EU, IE",EU-Parliament,19,5800,5300,415000,10375,39500,133000,39500,1792500,22600,25275,56250,4500,20000,9000,174000,8700
AR174788813711736832,PETERS FOR MICHIGAN,FEC ID C00437889,US,US-Federal,240,2125000,1810850,156605750,3541700,13687900,48860000,13479500,653662500,8187000,8808525,18835500,1639550,7240250,3204800,61500000,2984100
AR174910034868699136,NORTH CAROLINA REPUBLICAN PARTY,FEC ID C00038505,US,US-Federal,15,3300,3000,237000,5850,22200,77000,22500,990000,13000,14175,32250,2700,11750,5200,102000,4800
AR174975936846888960,ELECT TONYA PFAFF,Registered in Indiana 7061,US,US-Federal,26,1300,1100,95750,2175,8400,30000,8000,405000,5100,5400,11250,1000,4500,2000,36000,1800
AR175016550057639936,ALASKANS FOR DON YOUNG,FEC ID C00012229,US,US-Federal,21,10000,8900,742750,17450,67100,235000,66500,3082500,39300,42975,93750,7850,35000,15600,300000,14850
AR175198862829420544,"GULICK, DANA 4 PA 97",Registered in Pennsylvania 20180128,US,US-Federal,70,14000,11900,1032500,23275,90100,324000,88500,4357500,54700,57975,123000,10750,47500,21000,399000,19800
AR175306133932605440,RESTORATION PAC,FEC ID C00571588,US,US-Federal,543,675300,582750,49300500,1139775,4359100,15260000,4342000,198615000,2557500,2783100,6045750,521900,2370000,1019600,20208000,943500
AR175316373134639104,FAITH FOR SD24,EIN ID 82-4306354,US,US-Federal,18,7100,6150,517000,12075,45900,159000,46000,1995000,26600,28800,63750,5450,26000,10800,219000,9900
AR175334102759636992,PAUL WEIGEL FOR SENATE,Registered in Arizona 100169,US,US-Federal,1,4000,3400,294500,6600,25600,92000,25000,1230000,15500,16500,35250,3050,13500,6000,114000,5550
AR175451750503809024,VICKI PYNE FOR HD27,EIN ID 84-5168110,US,US-Federal,4,4200,3600,310500,7025,27200,98000,26500,1305000,16400,17475,37500,3250,14250,6400,120000,6000
AR175593587503792128,POLITICAL ACTION GROUP FOR EDUCATION (PAGE SAN BERNARDINO TEACHERS ASSOCIATION (SBTA),EIN ID 95-1998676,US,US-Federal,2,1600,1350,118250,2675,10300,37000,10000,502500,6300,6600,14250,1250,5500,2400,45000,2250
AR175614753102626816,SAFE TOGETHER NY INC,EIN ID 85-2628395,US,US-Federal,32,85900,73200,6346500,143125,553600,1977000,545000,26520000,331700,356400,761250,66150,292500,129000,2466000,120300
AR175667529660760064,FRIENDS OF CAROL BLOOD,Registered in Nebraska,US,US-Federal,50,1800,1550,132000,2975,11600,41000,11500,555000,6900,7425,15750,1400,6000,2800,51000,2550
AR175792805266849792,FRIENDS OF NICK FREITAS INC,FEC ID C00729335,US,US-Federal,84,24000,20650,1766750,40425,156200,556000,154000,7410000,93300,100425,216000,18600,82250,36600,696000,34350
AR175823110556090368,ANTHONY KERN,EIN ID 85-2019622,US,US-Federal,4,12300,10500,908000,20500,79200,283000,78000,3802500,47500,51000,109500,9550,42000,18600,357000,17250
AR176382212218814464,RYAN SHROUDER FOR COOPER CITY COMMISSIONER,EIN ID 85-2960788,US,US-Federal,8,20300,17400,1506500,33975,131600,474000,129500,6367500,80000,84600,180000,15700,69250,30600,582000,28800
AR176414235494973440,SUPPORTERS OF PERRIN JONES,EIN ID 84-3381345,US,US-Federal,12,8400,7100,617500,13925,53800,192000,53000,2572500,32100,34650,74250,6450,28500,12600,243000,11700
AR176432033839448064,NARAL PRO-CHOICE AMERICA,FEC ID C90004185,US,US-Federal,101,207100,181700,14987250,355350,1350500,4694000,1355500,59145000,783900,852975,1894500,160250,753000,314400,6378000,292050
AR176443028955725824,LORIE ZAPF FOR COUNCIL 2018,EIN ID 82-1791523,US,US-Federal,5,1100,950,81750,1900,7200,25000,7000,315000,4200,4500,9750,850,4000,1600,33000,1500
AR176546314329260032,COMMITTEE TO ELECT ALESSANDRA BIAGGI,EIN ID 82-3882153,US,US-Federal,3,100,50,5250,125,500,2000,500,22500,300,300,750,50,250,200,3000,150
AR176675850542907392,BECKER FOR CONGRESS,FEC ID C00712489,US,US-Federal,5,100,50,4250,100,400,1000,500,15000,200,225,750,50,250,0,3000,150
AR176705399917903872,JACKIE GORDON FOR CONGRESS,FEC ID C00706549,US,US-Federal,55,225800,191950,16621000,375450,1451600,5187000,1428500,69480000,868700,934425,1997250,174250,769250,339800,6525000,315900
AR176823734856843264,Euroopassa Suomen Tähden ry,,"EU, FI, PT",EU-Parliament,3,1400,1300,100750,2525,9600,33000,9500,420000,5500,6150,13500,1100,5250,2200,45000,2100
AR176888468603928576,FRIENDS OF MCCORMICK,FEC ID C00706747,US,US-Federal,6,6800,6000,507250,11700,45200,161000,44500,2115000,26800,28950,62250,5350,23500,10600,201000,9900
AR17716843175215104,CROKE FOR ILLINOIS,EIN ID 84-3790379,US,US-Federal,54,11700,10450,858500,20425,78600,270000,78000,3525000,45300,50325,111750,9150,41500,18800,351000,18150
AR17743712490618880,LET AMERICA VOTE PAC AND NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE,"FEC ID C00632398, EIN ID 81-3554739",US,US-Federal,109,7600,6450,569250,12600,48200,169000,48000,2220000,28400,31125,66750,5800,26000,11400,222000,10650
AR177801956608180224,FREE PRESS,EIN ID 41-2106721,US,US-Federal,2,3600,3000,263500,5900,22900,81000,22500,1095000,13700,14700,31500,2700,12000,5200,102000,4950
AR177812264529690624,SAVE THE CHILDREN ACTION NETWORK INC,EIN ID 46-5465189,US,US-Federal,2,400,400,30000,750,2800,10000,3000,127500,1600,1800,3750,350,1500,600,12000,600
AR177833567567478784,ELECT ROBYN COLAJEZZI,Registered in Pennsylvania 20190395,US,US-Federal,13,1400,1200,101750,2300,8900,32000,9000,427500,5400,5700,12000,1050,4750,2000,39000,1950
AR177910808259330048,ODONNELLFORMISSOURI.COM,Registered in Missouri C171348,US,US-Federal,3,600,550,47750,1075,4200,15000,4000,202500,2500,2700,6000,500,2250,1000,18000,900
AR178365731195322368,CLIMATE VOTE MINNESOTA,Registered in Minnesota 41243,US,US-Federal,36,92400,78700,6795500,153900,595600,2137000,585500,28522500,356900,383400,819750,71400,314750,139400,2664000,129750
AR178694072855166976,BETH NAUGHTON BECK FOR JUDGE,EIN ID 83-3072367,US,US-Federal,10,700,600,48000,1200,4500,16000,4500,202500,2600,2925,6750,550,2500,1000,21000,1050
AR178758944041205760,COMMITTEE TO ELECT JEFFRION AUBRY,EIN ID 11-3080480,US,US-Federal,3,6000,5300,453250,10400,40300,142000,39500,1845000,23700,25725,56250,4800,20750,9400,177000,8700
AR178835566257766400,BUCSHON FOR CONGRESS,FEC ID C00468256,US,US-Federal,2,1300,1150,94750,2200,8400,29000,8500,367500,4900,5250,12000,1000,4750,2000,39000,1800
AR17891184487694336,INSTITUTE FOR POLITICAL INNOVATION,EIN ID 84-5104658,US,US-Federal,1,500,450,38250,850,3300,11000,3000,157500,1900,2100,4500,400,1750,800,15000,750
AR178950396503392256,JOSH FOR STATE REPRESENTATIVE,EIN ID 81-2385369,US,US-Federal,5,400,350,31500,725,2800,10000,2500,135000,1700,1800,3750,350,1500,600,12000,600
AR179093333015003136,FLORIDA DEMOCRATIC PARTY,EIN ID 59-0772903,US,US-Federal,7,8200,7000,606750,13700,53000,191000,52000,2557500,32100,34125,72750,6350,28000,12400,234000,11550
AR179100823437967360,COMMITTEE TO ELECT ALLEN SMITH,FEC ID C00698001,US,US-Federal,31,200,150,11500,275,1100,4000,1000,45000,600,675,1500,150,500,200,6000,300
AR17917091730423808,Bündnis 90/Die Grünen Baden-Württemberg,,"DE, EU, PL",EU-Parliament,574,30300,25700,2191250,50250,193400,664000,191000,8962500,114100,124425,264000,22550,102000,43400,876000,40800
AR179195587596386304,FRANCCESCA CESTI-BROWNE,Registered in Florida 74583,US,US-Federal,11,1200,1000,87500,1975,7600,27000,7500,367500,4600,4950,10500,900,4000,1800,33000,1650
AR179382642012061696,OHIO REPUBLICAN STATE CENTRAL AND EXECUTIVE COMMITTEE,EIN ID 31-4290310,US,US-Federal,28,7300,6750,558000,13175,50900,184000,50000,2385000,30500,32550,73500,5900,26000,12200,219000,11550
AR179394118164676608,PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND,FEC ID C00684530,US,US-Federal,12,21100,18200,1548500,35625,136000,478000,136000,6090000,79600,86025,189000,16150,75500,32000,639000,29550
AR179553478631227392,PARTIDUL MISCAREA POPULARA - FILIALA IASI,,"AT, DE, EU, FR, IT, RO, SE",EU-Parliament,302,5900,4950,439000,9725,37500,131000,37000,1785000,22200,24225,51000,4450,19750,8400,168000,8100
AR179564954783842304,FORWARD CALIFORNIA,FEC ID C00733766,US,US-Federal,7,38700,35200,2789750,68800,262700,890000,263000,11880000,151500,168900,372750,30100,133750,61400,1167000,58800
AR179599520680640512,DAN FLYNN CAMPAIGN,EIN ID 30-0007676,US,US-Federal,2,600,550,47000,1075,4200,15000,4000,195000,2500,2700,6000,500,2250,1000,18000,900
AR179612852259127296,COMMITTEE TO ELECT KEITH WHEELER,EIN ID 90-0522731,US,US-Federal,8,1400,1200,105000,2375,9200,33000,9000,435000,5500,5925,12750,1100,5000,2200,42000,1950
AR179733454940798976,COLORADO REPUBLICAN COMMITTEE,EIN ID 84-0690399,US,US-Federal,20,18300,16400,1297000,32125,122400,419000,122500,5392500,70000,78075,176250,14150,64500,28600,558000,26550
AR179784032475676672,EVELYN FOR NY,EIN ID 84-3697163,US,US-Federal,12,7800,7050,589000,13775,53200,188000,52500,2430000,31300,33975,74250,6250,27250,12400,234000,11550
AR179854538658807808,AMERICANS UNITED FOR VALUES,EIN ID 81-1124556,US,US-Federal,31,30900,27150,2246000,53075,201700,700000,202500,8767500,117000,126675,281250,23950,113750,46800,954000,43200
AR179873299075956736,"CONCERNED CONSERVATIVES, INC.",EIN ID 84-3776329,US,US-Federal,2,2300,1900,169000,3750,14400,50000,14500,667500,8500,9300,19500,1750,7750,3400,66000,3150
AR179903054609383424,SPD Rosenheim-Stadt,,"DE, EU",EU-Parliament,5,400,400,32000,775,2900,10000,3000,135000,1700,1875,4500,350,1500,600,12000,600
AR179904772596301824,ESAFUND,EIN ID 27-3632647,US,US-Federal,27,135400,111250,9933500,217650,840200,2931000,827500,40365000,505400,541500,1123500,100150,438250,190800,3813000,178350
AR180201434577371136,EPOCH USA INC.,EIN ID 02-0574879,US,US-Federal,1160,2110300,1921900,157396250,3759250,14502400,51325000,14344000,668235000,8575200,9265650,20583750,1687250,7436250,3419800,63453000,3245550
AR180524622276460544,PALM BEACH KENNEL CLUB,EIN ID 59-1318711,US,US-Federal,1,0,50,2250,50,200,1000,0,7500,100,150,0,0,0,0,0,0
AR180636085267726336,JOSH TANNER FOR IDAHO,EIN ID 85-0682825,US,US-Federal,7,1800,1600,132500,3150,12200,44000,12000,570000,7300,7800,17250,1400,6250,2800,51000,2700
AR180827537729912832,STAATS FOR STATE REP,EIN ID 46-5314524,US,US-Federal,3,700,600,53250,1175,4600,16000,4500,210000,2700,2925,6000,550,2500,1000,21000,1050
AR180885811846184960,ILENE SHAPIRO ELECT,EIN ID 41-2196486,US,US-Federal,11,1700,1500,124250,2950,11300,39000,11000,525000,6600,7275,15750,1300,6000,2600,51000,2550
AR180917835122343936,Partidul Social Democrat filiala Prahova,,"ES, EU, RO",EU-Parliament,125,1800,1550,135750,3025,11700,41000,11500,555000,6900,7500,15750,1400,6250,2600,54000,2550
AR181141998055456768,RYAN WELD COMMITTEE TO ELECT,EIN ID 46-4527489,US,US-Federal,371,2900,2500,217000,4900,19000,68000,18500,915000,11400,12225,26250,2250,10000,4400,84000,4200
AR181242191052537856,SOLOMON RAJPUT FOR CONGRESS,FEC ID C00717983,US,US-Federal,1,1600,1400,119250,2700,10300,36000,10000,480000,6100,6675,14250,1250,5500,2400,48000,2250
AR181511983718203392,CATHERINE STEEL FOR STATE REPRESENTATIVE,EIN ID 84-4115731,US,US-Federal,96,3200,2700,232000,5250,20300,73000,20000,967500,12100,13050,27750,2450,10750,4800,90000,4350
AR181544213152792576,Arnora Oy,,"EU, FI",EU-Parliament,1,600,500,38250,950,3600,13000,3500,157500,2100,2325,5250,400,2000,800,18000,750
AR181668939003068416,PARTIDUL SOCIAL DEMOCRAT FILIALA SATU MARE,,"AT, EE, EU, FR, IT, RO",EU-Parliament,422,16700,14050,1239250,27450,106100,369000,104500,5047500,62800,68400,143250,12550,55750,24000,477000,22800
AR181859704270487552,MAXWELL RYMER,,US,US-Federal,2,1000,850,73000,1650,6400,23000,6500,307500,3800,4125,9000,750,3250,1400,30000,1350
AR181989652800995328,ACC WISCONSIN PAC,EIN ID 1100106,US,US-Federal,22,8800,7700,649250,15075,57200,199000,57500,2497500,33200,35925,80250,6800,32500,13400,273000,12300
AR182061533373661184,PATIENTS FOR AFFORDABLE DRUGS ACTION,FEC ID C00680926,US,US-Federal,27,52000,44650,3812250,87325,335200,1189000,332500,15622500,198500,214275,467250,40300,182750,78800,1542000,72750
AR182414407886700544,"LATINA POWER PROJECT, INC",EIN ID 85-3376453,US,US-Federal,2,1000,900,77500,1750,6800,24000,6500,330000,4100,4350,9000,800,3500,1600,30000,1500
AR182577066888134656,JOHNSON FOR LT. GOV.,EIN ID 45-2578783,US,US-Federal,2,1800,1650,131000,3200,12200,42000,12000,555000,7100,7875,17250,1400,6250,2800,54000,2700
AR182604692117782528,DREW EDMONDSON FOR GOVERNOR,EIN ID 82-1086860,US,US-Federal,1,100,50,5750,125,500,2000,500,22500,300,300,750,50,250,200,3000,150
AR182710451392479232,JEANETTE FOR SENATE 25,Registered in Illinois 35557,US,US-Federal,49,133700,113750,9849000,222450,859300,3066000,846500,41167500,513900,553425,1185000,103400,457250,201000,3876000,186600
AR182759998135205888,PARTIDUL PRODEMO,,"EU, RO",EU-Parliament,3,700,650,50750,1275,4800,17000,5000,210000,2800,3075,6750,600,2500,1200,24000,1050
AR18277868983287808,PEOPLE FOR BETTER GOVERNMENT COMMITTEE OF THE SAN MANUEL BAND OF MISSION INDIANS,EIN ID 81-3243001,US,US-Federal,2,30300,27350,2223250,53500,205700,712000,204500,9405000,119900,131700,291750,23950,106000,48200,909000,46500
AR182794289154097152,JAMIE FOR BART,EIN ID 85-2434133,US,US-Federal,123,2600,2200,190500,4300,16600,60000,16500,802500,10100,10725,22500,2000,8750,3800,72000,3600
AR182799992870666240,RANDY HENDERSON FOR CONGRESS,EIN ID 84-3888999,US,US-Federal,12,400,350,26250,650,2500,8000,2500,112500,1400,1575,3750,300,1250,600,12000,600
AR182815042436071424,HIRAM 2020,EIN ID 84-3672551,US,US-Federal,9,800,650,57500,1325,5100,18000,5000,240000,3000,3225,6750,600,2500,1200,21000,1050
AR182837376266010624,MINER/VOLPE FOR NY,EIN ID 16-1600808,US,US-Federal,6,700,650,52500,1250,4700,16000,4500,202500,2700,2925,6750,550,2750,1000,21000,1050
AR182856686438973440,RICH WALKER FOR PARKLAND MAYOR,EIN ID 85-0839687,US,US-Federal,5,1000,850,73000,1650,6400,23000,6500,307500,3800,4125,9000,750,3500,1400,30000,1350
AR182983405154074624,HOUSE CD6,FEC ID C00717868,US,US-Federal,2,3200,2750,238500,5375,20900,75000,20500,1005000,12600,13425,28500,2500,11000,4800,93000,4500
AR183066280843018240,Severočeši.cz,,"CZ, EU",EU-Parliament,21,1800,1550,133750,3000,11600,41000,11500,547500,6800,7425,15750,1400,6250,2800,54000,2550
AR183122768252895232,AUDREY DENNEY FOR CONGRESS,FEC ID C00664409,US,US-Federal,10,11100,9450,816750,18475,71400,256000,70500,3412500,42600,46050,98250,8600,38000,16800,321000,15600
AR183453996130762752,Z AXIS IMAGES,EIN ID 83-2082606,US,US-Federal,20,800,700,59250,1350,5200,19000,5000,247500,3100,3300,6750,600,2750,1200,24000,1200
AR183485607090061312,STEVE CWODZINSKI FOR STATE SENATE,EIN ID 85-1371895,US,US-Federal,12,6200,5300,459000,10375,40200,144000,39500,1927500,24100,25875,55500,4800,21250,9400,180000,8700
AR183518180122034176,PLAINS PAC,EIN ID 85-1674962,US,US-Federal,25,17000,14650,1273500,28700,110300,388000,109000,5122500,65100,70950,151500,13300,58250,25800,501000,24000
AR1838383441641472,TOM MALINOWSKI FOR CONGRESS,FEC ID C00656686,US,US-Federal,80,94000,81000,6907500,158375,609300,2155000,603000,28365000,361000,389175,843000,73000,327000,142200,2772000,132150
AR183859784640888832,Liberal Alliance,,"DK, EU, SE",EU-Parliament,307,49100,43850,3424750,85825,325600,1130000,327500,14242500,188400,208650,468750,38250,176750,74600,1530000,70500
AR183886241639432192,FRIENDS OF JACOB CAMPBELL INC,EIN ID 83-4657758,US,US-Federal,18,600,550,45750,1050,4000,14000,4000,195000,2400,2625,5250,500,2000,1000,18000,900
AR184103120308011008,Lucid Lines Productions Pvt Ltd,,IN,IN-General,7,300,250,19500,450,1800,6000,2000,82500,1100,1125,2250,200,1000,400,9000,450
AR184116451886497792,EQUALITY CALIFORNIA INSTITUTE,EIN ID 68-0438008,US,US-Federal,1,0,50,3750,75,300,1000,500,15000,200,225,750,50,250,0,0,0
AR184313333187346432,HURD FOR CONGRESS,FEC ID C00545467,US,US-Federal,29,19500,16950,1412250,33175,125900,437000,126500,5482500,73000,79200,176250,14950,71250,29600,600000,27300
AR184544986543423488,LANCE PRUITT,Registered in Alaska,US,US-Federal,5,2500,2150,184500,4175,16100,58000,16000,772500,9700,10425,22500,1950,8500,3800,72000,3600
AR184730322972180480,ΣΥ.ΡΙΖ.Α.,,"EU, GR",EU-Parliament,676,190200,168050,13138750,328725,1243600,4285000,1254500,54360000,714700,794700,1776000,150250,681250,285400,5913000,272250
AR185023617698889728,LESLIE COCKBURN FOR CONGRESS,FEC ID C00650366,US,US-Federal,18,7500,6550,548250,12800,48600,169000,49000,2115000,28200,30525,67500,5750,27500,11400,231000,10500
AR18506498682388480,FRIENDS OF ALISA BLUM,EIN ID 84-4310671,US,US-Federal,9,2300,2100,171500,4100,15800,57000,15500,735000,9500,10125,22500,1850,8000,3800,69000,3600
AR185084640594231296,Sloboda a Solidarita ( SaS ),,"AT, BE, CZ, DE, ES, EU, FR, GB, GR, HR, HU, IE, IT, NL, PL, RO, SE, SK",EU-Parliament,947,12500,11150,870500,21850,82900,287000,83500,3607500,47900,53175,118500,9600,45000,18800,387000,17700
AR185322478703214592,ELAD GROSS FOR MISSOURI,Registered in Missouri,US,US-Federal,26,100,100,7500,175,700,2000,500,30000,400,450,750,100,250,200,3000,150
AR18534811106803712,ENVIRONMENT AMERICA ACTION FUND,FEC ID C00531814,US,US-Federal,8,21500,19100,1635250,37325,144300,509000,142000,6592500,84900,92250,200250,17100,74500,33400,639000,31200
AR185393534642159616,MELINDA SERIN,,US,US-Federal,4,0,0,2000,50,200,1000,0,7500,100,150,0,0,0,0,0,0
AR18552540731801600,KEKE FOR HD54 % LIKEITHIA WILLIAMS,EIN ID 84-3748638,US,US-Federal,2,4700,4050,350000,7875,30500,110000,30000,1477500,18500,19650,42000,3650,16000,7200,135000,6750
AR185607595812192256,FRIENDS OF CHUCK DIETZEN,EIN ID 84-2962542,US,US-Federal,7,2100,1950,159250,3800,14700,53000,14500,682500,8800,9375,21000,1700,7500,3400,63000,3300
AR185662502674104320,BRIAN ALBERT,,US,US-Federal,2,1200,1050,83000,2050,7800,27000,8000,345000,4500,5025,11250,900,4000,1800,36000,1650
AR185893056518553600,Γεώργιος Λογιάδης,,"EU, GR",EU-Parliament,44,1500,1350,105000,2625,10000,35000,10000,435000,5800,6375,14250,1200,5500,2200,48000,2100
AR185982941594124288,Pammi Sai Charan Reddy,,IN,IN-General,59,2000,1750,135750,3425,13000,45000,13000,562500,7500,8325,18000,1500,7000,2800,60000,2700
AR185984384703135744,CAMPAIGN FUND OF JUSTIN STOFFERAHN FOR SENATE,EIN ID 84-3584424,US,US-Federal,14,14700,12500,1085000,24475,94800,340000,93000,4560000,57100,60975,129750,11350,50000,22200,423000,20700
AR1860304954720256,ALEX PADILLA FOR SENATE,FEC ID C00765164,US,US-Federal,12,26600,21850,1964500,42700,164600,574000,162500,7912500,98400,106275,221250,19850,86000,37600,750000,35250
AR186089456783065088,YES ON E TO PROTECT OUR INFRASTRUCTURE,EIN ID 84-4194001,US,US-Federal,2,1900,1750,136250,3400,13000,44000,13000,585000,7500,8325,18750,1450,6500,3000,57000,2850
AR186137148099919872,FITZHERBERT FOR CONGRESS,EIN ID 84-2316520,US,US-Federal,4,200,200,17500,425,1600,6000,1500,75000,1000,1050,2250,200,750,400,9000,300
AR186167934425497600,"Bharatiya Janata party, Maharashtra",,IN,IN-General,39,149200,134100,10617000,262300,997700,3445000,1002000,44430000,574700,637650,1447500,116000,527250,234800,4566000,218550
AR186171988874625024,BETH BIGHAM,,US,US-Federal,7,200,150,14000,325,1200,4000,1000,60000,700,825,1500,150,750,200,6000,300
AR186320354224898048,CLUB FOR GROWTH,EIN ID 20-4681603,US,US-Federal,23,33500,30150,2431750,58950,225600,771000,225000,10305000,130700,144975,318000,26000,115500,52600,1002000,49950
AR186418623076630528,KATE FOR CONGRESS,FEC ID C00711630,US,US-Federal,17,10400,8850,761750,17300,66900,240000,66000,3195000,40000,43050,92250,8000,35250,15600,300000,14550
AR186518403756851200,Tėvynės Sąjunga – Lietuvos krikščionys demokratai,,"EU, LT, LV",EU-Parliament,175,14500,12350,1069750,24175,93400,334000,92000,4455000,55900,60150,129000,11250,49750,22000,420000,20400
AR186565133001031680,"WITH HONOR FUND, INC.",FEC ID C00659011,US,US-Federal,648,560800,486650,40618250,951775,3618800,12600000,3629000,158992500,2104600,2276025,5052750,431450,2037000,848800,17151000,780900
AR186710749572235264,ajmal roshan k a,,IN,IN-General,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR186779400329494528,M4U Techno Solutions Private Limited,,IN,IN-General,10,300,250,20500,450,1800,6000,1500,82500,1000,1125,2250,200,1000,400,9000,450
AR186864681200123904,OVERPAID EXECUTIVE TAX SUPPORTED BY MATT HANEY,EIN ID 85-2463163,US,US-Federal,9,900,750,64250,1450,5600,20000,5500,270000,3400,3600,7500,650,3000,1400,24000,1200
AR186873752171053056,CLINT BARRAS,Registered in Florida 74948,US,US-Federal,118,11600,9900,857250,19375,75000,269000,73500,3600000,45100,48225,102750,9000,39750,17600,336000,16350
AR186947144572207104,ONE COUNTRY FUND,EIN ID 85-1095879,US,US-Federal,1,9800,8400,727500,16400,63500,228000,62500,3075000,38600,40875,87000,7550,33500,14800,282000,13950
AR186974632362901504,UNITED DEMOCRATS OF KANSAS,EIN ID 84-1951438,US,US-Federal,45,56000,47600,4121500,93075,360500,1296000,354000,17302500,216800,231900,493500,43100,189750,84200,1605000,78750
AR187021567765512192,SOLID BLUE STRATEGIES,FEC ID C00682401,US,US-Federal,3,1300,1150,90750,2275,8700,29000,8500,390000,5000,5550,12000,1000,4250,2000,39000,1950
AR187104649612886016,BRADLEY O'CONNER,,US,US-Federal,18,100,100,8500,200,700,3000,500,37500,400,450,750,100,500,200,3000,150
AR187271981538738176,BETH DOGLIO FOR CONGRESS,FEC ID C00735308,US,US-Federal,11,9200,7950,676250,15600,60100,213000,59500,2850000,35700,38700,84000,7150,31750,14000,270000,13050
AR187391484708782080,FRIENDS OF MONICA WALLACE,EIN ID 81-1537973,US,US-Federal,4,10200,8750,750250,17100,65900,234000,65000,3075000,39200,42075,90750,7850,35500,15400,300000,14250
AR187439588342497280,GODLEY FOR CITY COUNCIL 2020,EIN ID 83-3592565,US,US-Federal,1,500,500,39000,975,3700,12000,3500,165000,2100,2400,5250,400,2000,800,15000,750
AR187458967234936832,Electoral Commission,,NZ,,1,100,50,6000,125,500,2000,500,22500,300,375,750,50,250,200,3000,150
AR18756225260847104,"RAY, JUSTIN F.",Registered in Texas 00083168,US,US-Federal,1,800,700,59500,1350,5200,19000,5000,247500,3100,3375,7500,650,2750,1200,24000,1200
AR187619152335208448,COONEY FOR MONTANA,EIN ID 84-2307075,US,US-Federal,22,18300,15800,1347750,30950,119200,422000,118000,5617500,70900,76575,165000,14200,62750,27800,534000,26100
AR187721063319207936,BLUMENAUER FOR CONGRESS,FEC ID C00307314,US,US-Federal,13,17200,15800,1295750,30875,119500,432000,117500,5557500,71900,76275,168000,13900,60250,28400,513000,26550
AR188049954734866432,STAGGS FOR MAYOR,EIN ID 84-3193613,US,US-Federal,2,2100,1800,155250,3500,13600,49000,13500,652500,8200,8700,18750,1600,7250,3200,60000,3000
AR188082733925269504,Organisatie Socialistische Partij - OSP vzw,,"BE, EU",EU-Parliament,17,3600,3200,249250,6225,23700,82000,24000,1035000,13700,15150,34500,2800,12750,5400,111000,5100
